claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
COVID-19 vaccines were “rushed into market”; VAERS shows an “unusual spike in vaccine adverse events”; unvaccinated people aren't a threat to vaccinated people,2022-10-04T00:00:00Z,Charlie Kirk,https://healthfeedback.org/claimreview/charlie-kirk-video-listing-reasons-to-oppose-covid-19-vaccines-contains-multiple-incorrect-misleading-unsupported-statements/,"Charlie Kirk’s video listing reasons to oppose COVID-19 vaccines contains multiple incorrect, misleading, and unsupported statements",healthfeedback.org,Health Feedback,en,Misleading,Misleading
The Pfizer COVID-19 vaccine causes an 'Astonishing Drop in Male Fertility.',2022-10-07T22:52:00Z,expose-news.com,https://leadstories.com/hoax-alert/2022/10/fact-check-pfizers-covid-vaccine-does-not-cause-astonishing-drop-in-male-fertility.html,Fact Check: Pfizer's COVID Vaccine Does NOT Cause 'Astonishing Drop In Male Fertility' -- Sperm Count Dip Is Temporary,leadstories.com,Lead Stories,en,Brief Drop,Brief Drop
Pfizer's latest COVID booster vaccine was authorised for use based only on preliminary data from eight mice.,2022-09-05T00:00:00Z,An Instagram user,https://www.aap.com.au/factcheck/pfizer-booster-mice-data-claim-is-plagued-with-problems/,Pfizer booster mice data claim is plagued with problems,aap.com.au,Australian Associated Press,en,Misleading. Human data from a similar booster and the original mRNA vaccine was also considered as part of the authorisation process.,Misleading. Human data from a similar booster and the original mRNA vaccine was also considered as part of the authorisation process.
A peer-reviewed study found ivermectin reduces Covid-19 death risk,2022-09-28T00:00:00Z,Multiple people,https://factcheck.afp.com/doc.afp.com.32KN223,"Experts say study on ivermectin, Covid-19 death risk is flawed",factcheck.afp.com,AFP Fact Check,en,Missing context,Missing context
"It is ""Statistically IMPOSSIBLE"" to have administered the billions of COVID vaccine shots that have been provided around the world.",2022-10-07T00:27:05Z,facebook.com,https://leadstories.com/hoax-alert/2022/10/fact-check-not-statistically-impossible-to-administer-billions-of-covid-vaccine-doses.html,Fact Check: It's NOT 'Statistically IMPOSSIBLE' To Administer Billions Of COVID Vaccine Doses Since Pandemic Started,leadstories.com,Lead Stories,en,Lots Of Shots,Lots Of Shots
mRNA COVID-19 vaccines might do more harm than good,2022-09-26T00:00:00Z,Aseem Malhotra,https://healthfeedback.org/claimreview/article-by-cardiologist-aseem-malhotra-made-unsupported-claims-about-benefits-risks-covid-19-vaccination/,Article by cardiologist Aseem Malhotra made unsupported claims about the benefits and risks of COVID-19 vaccination,healthfeedback.org,Health Feedback,en,Unsupported,Unsupported
covid vaccine goes into the bloodstream,2022-10-05T18:30:00Z,Social media user,https://www.thip.media/health-news-fact-check/fact-check-does-covid-vaccine-go-into-the-bloodstream/35519/,Fact check: Does covid vaccine go into the bloodstream?,thip.media,THIP Media,en,False,False
"COVID mRNA vaccines alter our DNA, making the number of genes a variant of the devil's number - 666.",2022-09-25T00:00:00Z,A Facebook video,https://www.aap.com.au/factcheck/devil-in-the-detail-for-diabolical-covid-jab-claim/,Devil in the detail for diabolical COVID jab claim,aap.com.au,Australian Associated Press,en,False. The vaccines do not alter DNA or add new genes to the genome.,False. The vaccines do not alter DNA or add new genes to the genome.
Jay Z Kanye West Predicted Pandemic Covid 19,2022-10-06T19:58:00Z,facebook.com,https://leadstories.com/hoax-alert/2022/10/fact-check-jay-z-kanye-west-did-not-predict-pandemic-covid-19-in-2011-song.html,"Fact Check: Jay-Z, Kanye West Did NOT Predict Pandemic, COVID-19 In 2011 Song",leadstories.com,Lead Stories,en,Fake Lyrics,Fake Lyrics
The COVID-19 vaccine caused J.J. Watt’s atrial fibrillation.,2022-10-02T00:00:00Z,Viral image,https://www.politifact.com/factchecks/2022/oct/05/viral-image/posts-suggest-without-evidence-vaccine-caused-jj-w/,Posts suggest without evidence that vaccine caused J.J. Watt’s AFib,politifact.com,PolitiFact,en,False,False
MRNA COVID vaccines failed to go through enough testing and pose a great risk of adverse events to recipients and vaccination should be paused while global policies for COVID-19 are reappraised.,2022-10-06T00:01:00Z,twitter.com,https://leadstories.com/hoax-alert/2022/10/fact-check-covid-mrna-vaccines-did-go-through-proper-testing-pose-no-great-risk-of-adverse-events-vaccinations-should-not-be-paused.html,Fact Check: MRNA COVID Vaccines Are NOT So Risky That Vaccinations Should Stop,leadstories.com,Lead Stories,en,Not Ample Data,Not Ample Data
The United Kingdom published reports that show individuals fully/triple-vaccinated against the coronavirus account for nine in every 10 COVID-19 deaths in England over the past year.,2022-10-04T21:47:00Z,expose-news.com,https://leadstories.com/hoax-alert/2022/10/fact-check-numbers-only-part-of-reason-triple-vaccinated-account-for-nine-of-ten-covid-deaths-in-england-over-last-year.html,Fact Check: Numbers Only Part Of Reason Triple-Vaccinated Account For 9 Of 10 COVID Deaths In England Over Last Year,leadstories.com,Lead Stories,en,Mostly Vaxxed,Mostly Vaxxed
